MSOA11CD,MSOA,residual
E02000284,Enfield 008,-180008.7393
E02000285,Enfield 009,-251221.0087
E02000286,Enfield 010,-119390.6331
E02000287,Enfield 011,175789.9987
E02000288,Enfield 012,-61339.34947
E02000289,Enfield 013,-141106.6619
E02000290,Enfield 014,31377.79887
E02000291,Enfield 015,-60724.59581
E02000292,Enfield 016,-125344.6212
E02000293,Enfield 017,-212226.8615
E02000294,Enfield 018,-71534.08869
E02000295,Enfield 019,-142063.7652
E02000296,Enfield 020,-49284.99651
E02000297,Enfield 021,-222334.6452
E02000298,Enfield 022,-96604.74159
E02000299,Enfield 023,22789.76806
E02000300,Enfield 024,-20895.82045
E02000301,Enfield 025,90966.83375
E02000302,Enfield 026,-59711.6217
E02000303,Enfield 027,58476.70783
E02000304,Enfield 028,-107721.3178
E02000305,Enfield 029,-128879.6932
E02000306,Enfield 030,177200.7764
E02000307,Enfield 031,-103170.0553
E02000308,Enfield 032,48818.17157
E02000309,Enfield 033,115735.2689
E02000311,Enfield 035,86687.30749
E02000312,Enfield 036,-104644.1159
E02006793,Enfield 037,96183.72113
E02000313,Greenwich 001,16334.44063
E02000314,Greenwich 002,10245.85851
E02000315,Greenwich 003,164677.8313
E02000316,Greenwich 004,130523.2008
E02000317,Greenwich 005,94804.16093
E02000318,Greenwich 006,114420.3857
E02000319,Greenwich 007,74751.40932
E02000320,Greenwich 008,-61686.516
E02000321,Greenwich 009,153143.0934
E02000323,Greenwich 011,-125.1374428
E02000324,Greenwich 012,89535.32058
E02000326,Greenwich 014,-136046.7353
E02000327,Greenwich 015,-32823.92669
E02000328,Greenwich 016,-78587.82667
E02000329,Greenwich 017,-75084.1809
E02000331,Greenwich 019,-159810.7486
E02000332,Greenwich 020,-192875.6599
E02000333,Greenwich 021,-243192.1921
E02000334,Greenwich 022,-45837.07864
E02000335,Greenwich 023,-235529.0554
E02000337,Greenwich 025,-67069.79154
E02000339,Greenwich 027,-137164.6467
E02000340,Greenwich 028,-125642.3079
E02000341,Greenwich 029,-144813.5595
E02000342,Greenwich 030,-16291.41732
E02000343,Greenwich 031,-39071.46689
E02000344,Greenwich 032,-172251.5199
E02006786,Greenwich 033,-15500.0401
E02006927,Greenwich 034,-48405.03699
E02006928,Greenwich 035,-5772.047933
E02006929,Greenwich 036,-66083.36818
E02006930,Greenwich 037,-307287.1258
E02006931,Greenwich 038,107678.5198
E02000345,Hackney 001,31183.6594
E02000346,Hackney 002,533239.0256
E02000347,Hackney 003,385617.1383
E02000348,Hackney 004,455254.5686
E02000350,Hackney 006,17921.3049
E02000351,Hackney 007,-60487.44835
E02000352,Hackney 008,121563.2786
E02000353,Hackney 009,-105566.2294
E02000354,Hackney 010,242534.3642
E02000355,Hackney 011,190025.1758
E02000356,Hackney 012,20059.00755
E02000357,Hackney 013,98222.66481
E02000358,Hackney 014,124909.1354
E02000359,Hackney 015,160469.3779
E02000360,Hackney 016,160793.876
E02000361,Hackney 017,32630.24806
E02000362,Hackney 018,116962.823
E02000363,Hackney 019,260578.2701
E02000364,Hackney 020,203841.916
E02000365,Hackney 021,130079.4643
E02000366,Hackney 022,151013.2093
E02000367,Hackney 023,81242.34545
E02000368,Hackney 024,95097.83076
E02000369,Hackney 025,139776.6262
E02000370,Hackney 026,93213.34262
E02000371,Hackney 027,167665.0393
E02006918,Hackney 028,86466.24216
E02006921,Hackney 029,124376.0224
E02000372,Hammersmith and Fulham 001,87748.89509
E02000373,Hammersmith and Fulham 002,191889.6875
E02000374,Hammersmith and Fulham 003,336068.4915
E02000375,Hammersmith and Fulham 004,247093.6168
E02000376,Hammersmith and Fulham 005,99768.41877
E02000377,Hammersmith and Fulham 006,287152.5644
E02000378,Hammersmith and Fulham 007,65721.1454
E02000379,Hammersmith and Fulham 008,116185.4303
E02000380,Hammersmith and Fulham 009,262709.0745
E02000381,Hammersmith and Fulham 010,294309.5375
E02000382,Hammersmith and Fulham 011,30799.96154
E02000383,Hammersmith and Fulham 012,32527.77414
E02000384,Hammersmith and Fulham 013,413212.7826
E02000385,Hammersmith and Fulham 014,-163173.162
E02000386,Hammersmith and Fulham 015,188163.2364
E02000387,Hammersmith and Fulham 016,21511.56151
E02000388,Hammersmith and Fulham 017,627071.6294
E02000389,Hammersmith and Fulham 018,102660.2071
E02000390,Hammersmith and Fulham 019,222709.234
E02000391,Hammersmith and Fulham 020,783256.1165
E02000392,Hammersmith and Fulham 021,246811.4208
E02000393,Hammersmith and Fulham 022,-333436.6516
E02000394,Hammersmith and Fulham 023,300035.8499
E02000395,Hammersmith and Fulham 024,529675.5095
E02000396,Hammersmith and Fulham 025,430304.7325
E02000397,Haringey 001,108319.7708
E02000398,Haringey 002,156406.1453
E02000400,Haringey 004,7623.051639
E02000401,Haringey 005,109460.5851
E02000402,Haringey 006,50691.96885
E02000403,Haringey 007,-9419.783842
E02000404,Haringey 008,-34957.54252
E02000405,Haringey 009,-56179.59344
E02000406,Haringey 010,192219.542
E02000407,Haringey 011,77239.21069
E02000408,Haringey 012,-8608.779264
E02000409,Haringey 013,170758.0053
E02000410,Haringey 014,-56428.31045
E02000411,Haringey 015,42817.18173
E02000412,Haringey 016,145826.4543
E02000413,Haringey 017,196842.4614
E02000414,Haringey 018,18361.88529
E02000415,Haringey 019,18558.64064
E02000416,Haringey 020,-14145.63973
E02000417,Haringey 021,45454.94046
E02000418,Haringey 022,91214.0214
E02000419,Haringey 023,201192.8274
E02000420,Haringey 024,78640.34282
E02000421,Haringey 025,200279.9076
E02000422,Haringey 026,134912.3416
E02000423,Haringey 027,-60760.90834
E02000424,Haringey 028,317165.7641
E02000425,Haringey 029,138003.5035
E02000426,Haringey 030,713903.5965
E02000427,Haringey 031,-183510.8105
E02000428,Haringey 032,60445.82772
E02000429,Haringey 033,-141865.2252
E02000430,Haringey 034,-113610.649
E02000431,Haringey 035,7655.043214
E02000432,Haringey 036,31692.79471
E02006794,Haringey 037,172977.5323
E02000433,Harrow 001,244198.8386
E02000434,Harrow 002,-161637.3441
E02000435,Harrow 003,38701.20549
E02000436,Harrow 004,-105315.0213
