CODE,MSOA,housing_price,mean_income,population,fertility_rate
E02000966,Westminster 007,1203594,67800 ,10064 ,62.6
E02000967,Westminster 008,1206425,75900 ,8156 ,49.2
E02000968,Westminster 009,495177,38700 ,15274 ,59.0
E02000969,Westminster 010,507418,41600 ,9876 ,53.3
E02000970,Westminster 011,2025841,83600 ,9665 ,54.1
E02000971,Westminster 012,1244758,65200 ,8641 ,45.6
E02000972,Westminster 013,1550787,52800 ,9497 ,26.9
E02000973,Westminster 014,1313283,59900 ,10582 ,59.5
E02000974,Westminster 015,1174332,61100 ,8913 ,51.6
E02000975,Westminster 016,1371671,65300 ,9430 ,43.0
E02000976,Westminster 017,1194174,59600 ,10167 ,36.1
E02000977,Westminster 018,2377776,68800 ,6960 ,38.0
E02000978,Westminster 019,5257978,93800 ,10158 ,30.3
E02000979,Westminster 020,1442447,58600 ,9056 ,41.0
E02000980,Westminster 021,868984,49400 ,9493 ,42.5
E02000981,Westminster 022,1003818,66900 ,9473 ,41.0
E02000982,Westminster 023,2328898,51100 ,9080 ,50.2
E02000983,Westminster 024,905700,48800 ,9039 ,36.1
