MSOA11CD,MSOA,housing_price,mean_income,population,fertility_rate
E02000321,Greenwich 009,220433,34700,7509,105.9
E02000323,Greenwich 011,267238,40200,10846,75.7
E02000324,Greenwich 012,337374,42700,7712,99.5
E02000326,Greenwich 014,405223,56100,7305,91.8
E02000327,Greenwich 015,234528,41000,6809,81.2
E02000328,Greenwich 016,539351,60400,6725,95.3
E02000329,Greenwich 017,258137,43800,6361,78
E02000331,Greenwich 019,281089,47400,8229,66.1
E02000332,Greenwich 020,290808,50100,7510,70.1
E02000333,Greenwich 021,544556,67000,6419,82.9
E02000334,Greenwich 022,308633,46300,6635,88
E02000335,Greenwich 023,328994,54300,6647,71.5
E02000337,Greenwich 025,272021,43700,8236,75.3
E02000339,Greenwich 027,402222,52600,6110,68.4
E02000340,Greenwich 028,353322,48700,6226,62.1
E02000341,Greenwich 029,280782,40500,8024,24
E02000342,Greenwich 030,298775,41800,6410,70.4
E02000343,Greenwich 031,337967,46200,6811,79.6
E02000344,Greenwich 032,337285,51800,6602,73
E02006786,Greenwich 033,240299,39900,7380,77.5
E02006927,Greenwich 034,459465,54100,9074,89.4
E02006928,Greenwich 035,462623,47700,8731,58.9
E02006929,Greenwich 036,477567,53800,8023,75.2
E02006930,Greenwich 037,386279,57500,6835,49.6
E02006931,Greenwich 038,596664,65600,9284,174.8
E02000345,Hackney 001,380414,40700,9330,51.3
E02000346,Hackney 002,460654,34800,6288,154.1
E02000347,Hackney 003,443310,37900,8471,131.1
E02000348,Hackney 004,420619,34000,8517,135.7
E02000350,Hackney 006,520697,52000,10072,76.7
E02000351,Hackney 007,504311,52300,9079,57.7
E02000352,Hackney 008,595052,51200,7108,81.2
E02000353,Hackney 009,616324,59700,8093,55.1
E02000354,Hackney 010,432830,38700,10396,91.6
E02000355,Hackney 011,568232,46000,8888,77.8
E02000356,Hackney 012,625276,55000,7551,62.5
E02000357,Hackney 013,283571,39200,6590,96.7
E02000358,Hackney 014,500159,44600,11707,69.2
E02000359,Hackney 015,561510,45400,6708,66
E02000360,Hackney 016,431533,42200,11573,88.3
E02000361,Hackney 017,460590,47800,8081,73.3
E02000362,Hackney 018,355130,38200,6827,71.9
E02000363,Hackney 019,356646,33300,11413,86.5
E02000364,Hackney 020,747757,52200,9343,64.1
E02000365,Hackney 021,637801,49900,14350,60.6
E02000366,Hackney 022,508279,45300,8898,80.1
E02000367,Hackney 023,522052,48700,10725,75.1
E02000368,Hackney 024,432891,40800,9894,55.9
E02000369,Hackney 025,442568,42500,13124,79.4
E02000370,Hackney 026,580999,49300,8796,63.3
E02000371,Hackney 027,660248,48000,14356,52.7
E02006918,Hackney 028,326158,39100,8663,77.5
E02006921,Hackney 029,316188,36600,8309,76.6
E02000372,Hammersmith and Fulham 001,464896,43200,9412,59
E02000373,Hammersmith and Fulham 002,373346,34700,6403,67.1
E02000374,Hammersmith and Fulham 003,701467,43100,6504,62.3
E02000375,Hammersmith and Fulham 004,609695,41900,6794,55
E02000376,Hammersmith and Fulham 005,538079,45000,6742,50.5
E02000377,Hammersmith and Fulham 006,648658,46000,8023,83.5
E02000378,Hammersmith and Fulham 007,655484,53700,6336,58.8
E02000379,Hammersmith and Fulham 008,700673,53500,7554,59.2
E02000380,Hammersmith and Fulham 009,1015821,61800,5691,58.9
E02000381,Hammersmith and Fulham 010,1038410,59600,7659,46.9
E02000382,Hammersmith and Fulham 011,771584,58200,5847,38.4
E02000383,Hammersmith and Fulham 012,734669,57300,9045,45.4
E02000384,Hammersmith and Fulham 013,890652,47200,7149,52.4
E02000385,Hammersmith and Fulham 014,700761,66000,5962,50.1
E02000386,Hammersmith and Fulham 015,607914,44700,8033,54.8
E02000387,Hammersmith and Fulham 016,660160,55600,6061,55.3
E02000388,Hammersmith and Fulham 017,1264675,56100,7924,59
E02000389,Hammersmith and Fulham 018,930026,65700,7995,60.5
E02000390,Hammersmith and Fulham 019,908564,59800,6160,68.1
E02000391,Hammersmith and Fulham 020,1522331,62300,7696,67.1
